name,age,marks
Mira,27,17
Sam,17,200
Rahul,16,0
Mira,18,80
Tina,20,67
Ronit,23,53
Tina,25,95
Ira,24,94
Amit,24,17
Ravi,19,0
Sam,19,16
Ravi,15,-10
Tom,27,89
Diya,15,0
Karan,28,0
Mira,26,200
Tom,17,-10
Amit,26,56
Suraj,16,0
Pooja,30,19
Isha,24,80
Pooja,19,48
Diya,23,16
Karan,29,29
Ravi,28,0
Neha,15,22
Ira,28,3
Neha,18,0
Vivek,17,0
Ravi,17,98
Tina,22,23
Karan,29,0
Neha,21,77
Isha,30,44
Vivek,16,0
Mira,27,200
Neha,21,33
Mira,18,0
Vivek,29,34
Karan,16,9
Tom,24,88
Ronit,20,200
Amit,29,0
Karan,15,0
Tom,29,63
Isha,23,74
Ira,29,5
Sam,29,20
Pooja,21,27
Ravi,23,89
Isha,15,0
Diya,23,20
Ira,19,0
Ronit,27,30
Vivek,26,94
Vivek,29,0
Mira,18,65
Vivek,17,0
Tina,26,23
Amit,24,0
Tina,27,15
Ravi,24,52
Sam,25,0
Rahul,29,-10
Karan,18,24
Rahul,24,51
